PE,AT,V,AP,RH
437.59,24.65,72.43,1007.99,90.05
461.57,19.02,52.72,1025.44,51.9
435.27,23.32,69.13,1010.75,91.84
440.2622985839844,23.99,68.12,1012.92,70.68
473.1034240722656,10.12,39.96,1025.98,98.63
469.23,12.53,43.56,1014.8,74.05
451.4570007324219,18.11,52.08,1002.51,100.09
441.04229736328125,24.94,59.07,1008.89,84.79
439.9049072265625,30.92,59.57,1010.87,62.43
468.29473876953125,12.68,45.01,1013.86,83.26
440.4239196777344,25.41,66.49,1014.06,51.09
468.57818603515625,14.12,39.4,1008.02,76.45
430.36798095703125,28.33,64.96,999.71,69.66
458.9772644042969,14.77,49.15,1020.56,80.27
436.5767517089844,29.0,70.72,1009.51,67.72
450.84228515625,18.02,49.78,1003.86,100.09
476.75146484375,11.55,40.6,1014.44,87.06
460.92852783203125,15.31,52.75,1025.21,55.22
472.95745849609375,12.36,37.73,1021.36,65.45
446.8835754394531,19.45,58.95,1017.79,93.46
440.7563781738281,27.05,67.79,1010.99,71.37
481.42,9.73,40.22,1011.48,87.88
473.69805908203125,11.11,37.5,1013.68,73.67
463.094482421875,13.01,41.58,1020.82,78.41
476.3411560058594,11.76,40.96,1023.22,81.31
461.9868469238281,17.58,39.63,1004.84,80.43
439.8,27.54,51.43,1012.3,54.82
432.6014404296875,29.79,77.17,1009.68,64.0
467.2426452636719,13.83,40.2,1013.28,90.44
432.53485107421875,32.05,77.24,1008.06,67.09
437.2088317871094,28.14,76.86,1000.7,70.17
432.78,34.11,73.56,1006.77,45.92
434.9497985839844,22.83,70.79,1006.36,92.07
450.27,21.04,47.43,1007.15,64.82
473.5466003417969,12.39,40.75,1016.05,81.91
434.5832214355469,27.7,72.24,1011.02,67.6
463.74,16.62,39.99,1007.07,77.14
439.78863525390625,25.27,67.07,1006.34,66.35
475.1101989746094,9.52,41.26,1020.55,89.73
446.01,17.74,58.33,1013.55,81.8
441.4281005859375,22.9,49.3,1003.45,80.95
461.14,14.86,43.14,1019.21,99.14
435.41,26.71,66.25,1008.11,79.28
471.86212158203125,13.42,42.86,1013.88,85.13
432.98,25.82,72.39,1003.4,86.33
464.742431640625,15.14,44.21,1019.97,83.86
478.04,10.17,41.17,1018.58,87.72
440.1070861816406,27.44,65.59,1010.76,68.67
443.9192810058594,23.94,63.21,1013.52,83.12
436.426025390625,25.16,74.33,1014.55,76.7
471.55841064453125,12.88,42.74,1026.25,74.54
435.7151184082031,31.87,67.32,1013.65,36.69
448.1082458496094,22.18,65.46,1016.74,54.02
481.59,9.41,41.54,1019.48,82.19
472.7899169921875,12.17,40.6,1013.59,88.62
434.7955627441406,30.57,69.71,1008.94,59.99
435.04,28.16,70.98,1008.51,72.12
478.55377197265625,9.72,43.41,1016.25,76.39
476.6202392578125,11.9,39.16,1016.53,84.59
484.12,7.1,41.74,1022.25,91.07
472.86932373046875,11.47,40.27,1005.39,77.4
435.9274597167969,28.19,67.45,1013.97,49.76
478.3592834472656,9.75,36.66,1026.21,70.12
482.9705505371094,7.55,43.65,1019.09,61.71
455.25616455078125,19.9,56.53,1020.52,78.05
477.41,12.45,40.56,1017.84,66.52
474.88,9.15,39.61,1018.11,75.29
463.1,14.38,40.66,1016.34,92.37
444.06,26.16,67.9,1005.81,61.02
456.6119079589844,22.63,45.61,1014.14,73.06
429.39837646484375,30.51,70.79,1004.55,56.05
440.89,26.2,60.07,1014.75,59.41
440.3294677734375,25.77,69.04,1009.66,65.49
462.92,14.74,44.47,1028.29,67.87
462.4640197753906,17.02,44.85,1014.38,62.66
457.4105529785156,17.68,53.16,1013.09,82.79
472.77,8.93,40.46,1019.03,71.0
477.0419006347656,9.49,40.69,1015.09,91.31
437.1,23.48,72.99,1009.61,88.16
448.9841613769531,22.69,49.21,1012.64,46.83
472.42755126953125,12.65,44.34,1019.4,71.45
469.80364990234375,12.79,44.68,1022.51,99.55
469.48,13.01,41.17,1017.26,76.2
431.6345520019531,30.76,69.14,1007.63,71.24
448.65,22.56,47.43,1006.72,54.82
452.0135192871094,20.7,58.16,1016.73,68.19
453.6407470703125,21.09,50.9,1012.42,69.09
442.0804748535156,26.35,59.44,1012.16,63.73
426.3,35.1,68.27,1006.96,43.51
466.2137451171875,14.43,38.28,1014.76,79.76
463.57,16.32,43.56,1014.4,59.77
464.03,12.21,40.64,1020.31,83.84
431.2808837890625,32.13,69.98,1013.3,55.85
432.7822570800781,25.68,70.32,1009.08,90.48
443.6016540527344,24.4,62.26,1011.62,70.1
480.87274169921875,6.41,40.81,1026.57,93.51
444.76580810546875,23.38,65.06,1014.12,59.36
432.0799865722656,30.21,75.33,1002.24,66.71
456.74310302734375,22.88,50.23,1016.11,63.77
435.99,27.99,71.58,1010.68,68.99
463.48828125,16.01,49.64,1026.35,77.75
441.1748352050781,31.08,59.57,1010.76,60.49
441.13702392578125,23.09,70.02,1010.58,77.85
442.8114013671875,21.03,69.05,1002.17,75.35
466.5526123046875,12.05,49.83,1008.54,95.11
462.0828857421875,14.73,54.3,1016.75,67.13
425.11,32.56,68.14,1004.02,35.04
490.11,6.99,40.07,1014.83,54.36
457.31036376953125,18.84,40.79,1005.18,92.46
490.81,6.18,41.38,1020.23,81.38
463.1729431152344,13.72,49.83,1006.88,89.49
440.72,29.48,59.27,1010.99,51.23
469.3574523925781,14.35,39.39,1012.92,82.41
457.5069274902344,19.47,43.43,1011.66,69.93
430.68426513671875,26.92,73.17,1011.42,76.94
438.3584289550781,26.16,70.04,1009.63,73.22
451.05,19.77,49.39,1019.02,91.03
437.5688781738281,26.92,62.44,1011.09,70.8
440.87,27.54,75.6,1018.26,57.89
460.6109313964844,18.75,41.1,1001.97,59.6
429.71,26.29,68.24,1010.71,76.95
441.33,27.16,65.61,1014.21,47.93
468.49,16.0,39.16,1016.37,77.63
475.6458435058594,10.38,37.73,1021.5,75.02
432.5926818847656,30.29,74.16,1008.77,75.23
438.939453125,24.69,71.73,1010.13,70.54
469.7705383300781,14.16,40.89,1010.78,82.86
474.5224304199219,9.97,39.99,1010.09,95.0
442.87,21.96,51.43,1007.28,89.96
439.75,32.43,68.31,1010.09,42.22
435.79,27.99,69.89,1013.94,51.25
455.4866027832031,18.15,45.01,1013.06,72.4
478.75238037109375,8.83,43.56,1014.9,81.55
433.3783874511719,26.62,70.36,1005.15,84.99
440.1624450683594,32.96,68.31,1010.39,42.33
447.7443542480469,24.67,68.61,1010.71,57.47
434.059814453125,27.06,70.47,1007.0,72.37
436.9605407714844,25.0,69.71,1009.23,80.92
468.4643859863281,15.47,38.73,1001.13,77.61
459.1,17.36,41.23,998.08,63.46
439.35,29.62,70.02,1010.09,43.1
472.564697265625,13.54,40.69,1015.85,77.55
442.85687255859375,24.52,59.15,1014.03,74.83
477.4073181152344,9.73,38.56,1017.18,61.81
452.86,20.6,65.12,1015.53,71.57
435.78,25.16,68.08,1010.89,70.16
440.42,20.86,63.73,1008.54,96.83
473.01983642578125,10.31,45.01,1018.42,93.67
445.81,20.37,69.48,1011.04,84.31
457.4435119628906,17.58,44.9,1020.52,71.48
458.64,19.04,51.86,1018.05,79.01
435.57598876953125,25.38,71.73,1009.97,72.6
434.05438232421875,32.81,77.17,1009.17,53.13
446.71,19.41,67.32,1012.34,78.8
438.8487548828125,21.73,69.05,1001.31,86.64
441.9,22.29,56.89,1014.39,84.89
435.37469482421875,29.39,71.14,1010.97,53.88
455.85,20.08,58.12,1015.53,80.84
459.408447265625,16.51,51.86,1022.37,81.18
469.46221923828125,14.47,42.99,1009.78,91.15
462.3080749511719,17.37,40.55,1001.19,71.42
460.25,17.03,43.99,1021.5,82.32
439.7791442871094,25.91,67.07,1005.66,60.12
480.36,6.03,40.78,1025.53,98.68
433.6930847167969,31.9,73.42,1010.82,60.58
450.6,20.03,47.45,1009.04,77.56
433.24346923828125,31.23,68.67,1005.82,52.1
466.71,13.8,45.08,1023.99,79.72
471.97,15.52,41.93,1022.97,52.92
451.67,23.68,51.3,1011.86,71.24
436.0875244140625,23.25,70.32,1009.28,86.52
442.47,24.58,49.02,1008.85,79.32
480.45733642578125,8.3,36.3,1015.97,60.62
474.93,9.27,42.02,1004.29,95.05
467.12,15.52,42.86,1015.09,83.48
427.8735656738281,30.71,68.24,1006.15,34.15
468.9903564453125,11.47,25.36,1008.27,95.4
434.9563903808594,30.51,70.94,1007.64,59.42
433.3265075683594,26.43,66.48,1004.36,55.9
431.64105224609375,28.65,70.32,1008.46,58.13
450.7677307128906,21.38,49.21,1012.49,53.77
450.41,19.97,59.21,1017.87,83.46
456.169189453125,19.38,54.9,1017.08,70.46
464.2803649902344,17.77,44.6,1016.97,54.25
468.70220947265625,7.04,41.74,1021.91,88.55
431.12,30.3,69.51,1011.8,50.43
463.0321350097656,14.91,43.34,1015.15,81.56
435.1617431640625,26.87,69.23,1012.71,54.54
452.31988525390625,18.86,51.43,1010.27,86.0
452.59515380859375,20.77,43.77,1010.76,63.12
473.78436279296875,12.2,44.77,1018.64,76.1
457.05474853515625,16.17,41.79,1005.78,78.8
471.72,11.69,35.76,1019.02,55.6
487.33,9.17,40.67,1019.03,66.21
473.1556091308594,10.82,42.02,996.03,99.34
443.5,23.08,48.41,1008.44,82.35
468.57,12.74,39.13,1008.19,94.81
438.01,26.85,57.19,1007.9,60.04
433.44,28.44,69.4,1003.98,73.51
467.7225036621094,14.02,42.86,1030.86,68.36
457.21,14.57,41.79,1007.61,82.85
468.5843505859375,15.4,40.69,1015.1,70.25
464.43072509765625,16.75,42.23,1013.81,84.98
435.0793151855469,29.83,68.67,1005.33,71.15
434.82965087890625,26.25,66.56,1008.29,60.65
440.5859375,27.17,63.09,1015.59,68.33
428.27,27.49,71.94,1008.25,68.29
464.910888671875,11.7,41.16,1017.98,95.71
440.29,24.37,73.42,1010.19,76.01
440.9669189453125,26.14,61.02,1010.13,66.71
462.9267578125,15.91,38.62,1016.2,63.63
477.04669189453125,9.24,41.4,1030.72,87.36
469.93,14.09,41.66,1009.25,71.4
472.03643798828125,10.61,37.5,1008.8,100.13
432.3006286621094,28.72,76.86,999.31,71.74
460.711669921875,16.61,25.88,1009.34,65.47
442.81,24.35,51.86,1014.34,67.22
432.18792724609375,26.95,72.24,1011.16,73.14
469.6,13.89,41.49,1020.02,86.47
450.0,20.98,47.43,1007.39,68.15
448.478515625,24.74,63.87,1016.91,55.65
457.41,16.12,45.87,1008.15,86.12
463.69,20.94,44.58,1016.98,59.65
451.928955078125,21.01,58.96,1014.33,61.8
486.3869323730469,6.52,35.57,1025.37,78.32
467.07,13.14,43.71,1024.47,87.42
467.81298828125,13.93,44.47,1025.35,81.54
461.9644775390625,14.46,45.87,1009.21,84.09
444.5659484863281,21.83,62.91,1011.07,91.34
475.43,9.97,41.26,1020.6,91.14
468.78778076171875,15.09,43.13,1015.71,54.36
433.76,25.63,71.58,1010.14,87.57
436.27,24.17,71.58,1010.16,89.96
462.57879638671875,18.6,43.56,1013.9,51.16
426.31,31.05,69.13,1000.38,58.49
475.01,10.19,37.14,1012.74,73.48
467.44140625,13.26,41.78,1009.77,61.69
477.3203125,9.66,41.82,1033.19,73.19
440.66,23.6,62.44,1011.52,78.12
457.32794189453125,15.91,71.14,1019.7,72.65
485.7747497558594,8.79,40.67,1019.5,66.3
425.36,30.88,67.83,1008.97,54.99
446.26,20.98,60.07,1016.26,67.18
467.53839111328125,14.2,42.86,1031.96,69.59
442.6139221191406,25.69,57.32,1012.34,44.18
436.74,23.65,59.92,1010.19,89.53
463.92,15.48,44.99,1011.94,69.95
475.17041015625,10.64,39.61,1018.33,66.81
470.63,14.48,38.92,1015.6,90.05
476.8749084472656,10.47,43.14,1010.35,86.86
444.5372314453125,24.65,63.86,1018.37,56.15
460.87,16.2,45.76,1014.73,89.84
437.8729248046875,28.61,52.84,1006.0,45.73
438.8,23.13,61.47,1008.96,85.5
471.9365234375,13.55,42.99,1007.58,97.55
456.4555358886719,18.71,54.9,1017.12,74.79
459.33538818359375,14.35,49.83,1006.39,91.23
434.74,29.79,69.34,1008.82,65.13
438.12,29.64,54.2,1013.0,39.56
462.93316650390625,15.11,45.01,1017.01,84.39
445.61,25.02,60.29,1017.49,54.75
441.873291015625,23.61,49.16,1002.39,65.63
462.33416748046875,16.05,38.28,1014.38,73.89
451.5003662109375,19.59,59.87,1018.28,84.83
441.85,23.23,56.89,1012.87,75.43
473.84,9.41,43.5,1021.0,88.74
489.16,6.63,39.37,1020.33,76.18
430.75,27.89,69.88,1007.99,85.62
447.77447509765625,22.54,51.95,1007.29,79.28
468.7535095214844,14.0,40.8,1026.17,54.82
482.2845153808594,6.87,39.85,1012.66,83.34
433.626708984375,30.47,70.02,1009.65,62.03
431.96,27.33,68.94,1007.04,61.83
468.6396484375,13.7,34.03,1018.82,69.07
442.65997314453125,22.03,59.43,1006.88,82.05
429.36,30.32,74.22,1008.31,53.14
464.5789794921875,17.13,43.79,1016.09,58.94
429.6628723144531,26.3,71.94,1006.64,85.12
455.11,17.55,48.78,1016.81,91.27
439.6976318359375,23.34,59.14,1017.47,78.91
446.87,23.26,58.2,1016.72,57.98
483.0768127441406,8.07,41.17,1019.4,86.43
446.33,24.45,68.63,1013.38,45.35
453.64715576171875,18.41,49.69,1006.66,80.55
452.5434875488281,18.22,58.2,1017.09,81.92
465.26,16.54,42.86,1014.85,78.0
439.0222473144531,30.01,65.18,1012.87,43.95
446.97,29.19,67.51,1011.48,55.55
465.0574035644531,14.58,41.92,1030.42,61.96
452.55,19.41,64.45,1009.44,64.05
452.6049499511719,18.95,65.48,1018.17,71.85
476.0229187011719,11.36,40.75,1016.34,85.19
442.45550537109375,23.79,58.49,1011.0,75.39
469.677490234375,16.55,41.93,1022.71,42.73
448.2566223144531,21.43,59.14,1015.91,64.4
453.37,18.98,60.1,1010.09,85.34
464.58,16.38,55.5,1019.8,82.44
444.7966003417969,23.26,59.21,1017.71,67.16
438.54,22.55,69.84,1006.57,76.29
471.3000183105469,10.01,40.78,1023.71,88.11
447.39752197265625,23.33,54.2,1012.47,79.48
449.55078125,20.89,68.63,1012.6,69.52
468.9510803222656,14.18,53.82,1016.9,64.57
477.06622314453125,8.94,42.07,1018.9,85.93
429.4483947753906,28.61,69.84,1004.02,67.26
437.4230041503906,28.59,75.08,1005.58,60.3
466.24,13.91,40.24,1017.03,85.93
429.15,32.21,71.85,1008.25,58.09
463.1669616699219,15.34,43.5,1021.18,79.44
435.3406066894531,27.0,69.34,1008.88,74.4
443.05108642578125,23.63,65.59,1013.1,76.95
488.69,6.79,38.5,1012.61,72.46
470.6522216796875,9.01,40.77,1022.37,90.3
460.2043762207031,17.92,44.2,1018.97,53.8
480.4012451171875,9.05,40.67,1015.57,75.48
436.1455383300781,24.17,73.18,1011.72,86.1
440.35,26.92,63.73,1010.29,68.6
458.347412109375,15.59,52.75,1024.3,59.93
480.13,10.17,41.46,1019.34,83.04
472.949462890625,10.66,37.5,1009.42,95.86
434.13,32.48,69.89,1013.98,46.39
433.9698181152344,29.05,68.24,1007.88,42.67
429.66302490234375,32.91,73.68,1014.49,50.62
489.5303955078125,6.1,40.07,1020.21,67.24
443.43,25.11,63.21,1012.21,83.58
474.66,7.89,71.14,1018.4,86.49
438.2425842285156,22.82,69.94,1004.65,73.47
467.5758056640625,14.13,43.41,1015.26,55.63
479.8905029296875,9.32,36.3,1027.9,77.02
473.31,11.86,40.55,1019.82,91.45
469.06,10.05,40.46,1018.71,67.38
476.7,11.22,40.22,1011.01,81.67
429.55,31.68,70.79,1004.05,54.5
474.55,10.27,42.34,1022.69,92.78
474.98870849609375,9.34,40.77,1012.14,90.81
428.6738586425781,28.83,66.44,1008.47,77.49
440.4639587402344,24.01,67.17,1007.44,86.87
478.116455078125,9.68,41.48,1018.24,71.04
466.38,14.86,44.71,1018.3,49.46
477.392578125,8.74,36.3,1015.18,61.97
457.8865966796875,16.55,46.18,1009.97,96.54
440.94,27.65,48.41,1008.54,58.25
476.6173095703125,10.1,41.17,1019.18,84.87
441.21441650390625,28.75,64.84,1009.61,58.24
450.98,18.75,63.09,1018.19,87.84
471.43,18.32,45.0,1022.67,46.38
431.9020690917969,28.62,68.24,1010.15,69.31
463.8072509765625,11.46,39.1,1010.17,100.15
469.0227355957031,13.92,43.41,1015.12,61.64
438.3970642089844,22.89,74.78,1009.79,81.57
449.2904357910156,21.13,47.43,1006.97,64.26
438.691162109375,24.78,68.94,1007.29,70.56
454.1131591796875,17.03,47.83,1004.94,79.68
445.9377746582031,25.41,65.12,1016.01,53.39
441.5665283203125,21.47,60.93,1006.46,87.83
478.8335266113281,10.8,41.39,1019.74,74.08
475.12164306640625,11.67,36.18,1016.03,61.44
457.41,19.61,56.65,1020.64,63.74
449.2,21.48,47.43,1006.88,63.54
447.42,21.48,66.91,1008.58,84.49
471.08,14.17,43.13,1014.94,48.62
447.7763366699219,24.15,64.63,1020.72,58.06
435.4051513671875,28.81,69.23,1013.14,39.18
458.5130615234375,16.53,46.18,1010.2,95.42
440.08,22.1,68.12,1012.71,79.77
458.81939697265625,16.22,50.88,1014.33,100.09
482.4,10.9,40.67,1016.66,65.09
464.17,13.9,40.2,1013.13,89.91
430.46,30.61,77.17,1009.49,73.19
479.04815673828125,5.9,45.87,1013.25,87.0
480.8199157714844,5.67,45.87,1008.91,93.29
448.7969665527344,17.82,65.94,1013.44,88.13
471.04,9.34,41.49,1020.58,97.59
438.3504943847656,27.07,66.93,1017.32,55.38
431.993408203125,25.52,71.98,1006.89,86.94
430.42,33.37,79.05,1007.19,62.64
438.3373107910156,22.25,66.54,1004.64,89.15
441.17510986328125,28.34,63.77,1013.7,61.13
431.6080322265625,32.87,71.32,1004.36,54.69
482.4477233886719,9.84,40.72,1022.21,77.79
461.3752746582031,15.8,53.82,1015.87,68.48
441.52,21.96,71.85,1009.38,75.98
482.4560241699219,8.3,40.35,1012.37,98.17
479.3802795410156,8.39,36.3,1015.39,62.23
472.31,12.55,39.58,1010.68,76.9
443.13,24.37,65.61,1014.5,65.67
429.4051208496094,33.43,69.88,1006.86,44.84
469.56646728515625,13.04,41.04,1026.27,69.75
471.4706115722656,13.52,39.39,1012.91,84.03
477.5,11.46,38.91,1012.34,77.37
443.63,19.75,57.32,1010.76,79.29
486.282470703125,7.19,39.37,1019.67,70.77
433.7874755859375,26.76,70.98,1007.64,90.51
429.43115234375,29.67,71.98,1005.16,67.75
429.32,32.86,66.44,1010.98,44.99
469.83111572265625,10.02,52.75,1021.93,73.68
462.25164794921875,17.41,40.55,1003.91,76.87
442.64,26.53,65.61,1014.29,50.9
435.8836669921875,29.82,69.75,1010.09,65.02
432.26,30.56,69.14,1007.49,71.0
465.948486328125,13.92,43.5,1021.14,88.44
460.1319885253906,19.94,38.52,1018.4,55.9
456.6493835449219,21.03,44.78,1007.99,36.82
435.77,31.33,65.18,1011.97,36.62
470.8084716796875,11.7,41.16,1019.58,87.49
458.24871826171875,16.94,50.59,1018.75,94.22
432.28,26.06,67.83,1009.26,66.37
467.3,15.39,42.28,1007.35,81.35
472.9721984863281,10.98,37.5,1011.12,97.51
436.5474853515625,28.41,74.16,1010.29,72.09
488.0168762207031,4.88,40.27,1012.66,74.51
489.5665588378906,6.58,40.67,1020.18,71.07
468.3889465332031,13.79,40.0,1016.02,70.17
432.5635986328125,27.16,71.32,1007.81,89.07
475.1581726074219,7.65,41.01,1024.31,97.17
464.1068420410156,16.3,41.16,1007.88,76.61
447.57965087890625,23.04,63.86,1019.83,59.78
452.94,25.74,65.38,1009.6,54.34
445.6436767578125,24.31,44.05,1006.16,73.3
437.41455078125,23.43,69.23,1013.09,63.48
461.73,14.91,46.9,1019.59,98.1
436.70733642578125,31.28,75.08,1005.39,49.53
436.15960693359375,25.84,67.83,1009.26,59.55
452.3,24.57,49.82,1016.82,65.25
466.98968505859375,13.42,48.04,1011.63,99.32
440.96,25.31,65.59,1011.16,79.71
441.63037109375,22.78,59.92,1011.28,88.78
451.1836242675781,20.19,58.86,1014.3,71.64
458.1094970703125,17.98,39.63,1005.42,82.12
440.57037353515625,22.71,75.23,1010.48,76.86
464.46,13.68,41.7,1019.19,84.07
440.2864074707031,24.87,65.75,1006.45,65.75
487.25,7.53,41.74,1022.45,90.85
453.26,24.97,68.61,1011.0,55.04
467.108642578125,13.55,40.71,1019.13,75.44
474.7764892578125,8.66,40.11,1032.86,75.31
457.5118103027344,16.84,45.01,1016.14,75.74
447.34,23.05,68.67,1006.69,76.43
451.24,17.7,49.78,1005.19,100.09
446.47,19.39,68.61,1011.09,96.51
437.61102294921875,30.05,56.9,1007.02,41.96
449.8796081542969,19.82,63.9,1013.19,78.96
456.8482360839844,19.1,56.53,1020.18,76.38
464.4867858886719,17.47,43.56,1014.15,54.71
446.67,23.86,45.87,1007.71,48.73
442.0888671875,26.31,63.77,1014.15,69.36
436.02,26.74,69.89,1013.96,51.82
473.74,9.94,40.46,1018.9,68.51
432.710693359375,27.01,71.25,1000.46,87.95
445.8763427734375,21.01,51.19,1008.44,81.49
433.102294921875,34.97,73.56,1006.57,44.69
450.75,22.51,68.63,1015.1,57.19
448.92803955078125,21.03,67.45,1015.01,68.59
439.14,29.05,75.6,1017.63,51.16
446.05,23.6,57.17,1009.84,74.27
483.85101318359375,5.62,43.65,1017.9,77.43
447.0792236328125,21.16,65.48,1016.99,72.79
450.05,21.89,58.62,1016.15,74.59
477.1587219238281,9.66,40.05,1015.78,89.06
440.6,25.69,59.07,1006.89,82.34
476.8341979980469,8.33,38.08,1018.94,73.78
482.2309875488281,7.32,41.22,1015.42,97.25
462.6939697265625,21.11,41.67,1012.44,52.86
475.07,12.25,40.75,1016.02,82.4
448.15,24.57,51.95,1005.8,70.07
452.56,16.64,48.92,1011.55,78.76
477.3163146972656,11.57,41.54,1020.13,69.14
433.54791259765625,29.23,75.6,1017.72,52.26
428.06231689453125,32.37,67.83,1008.32,57.39
444.5506286621094,26.17,58.86,1014.52,51.28
485.3016357421875,6.05,38.68,1017.46,66.13
481.89,8.64,41.66,1014.14,80.44
437.03741455078125,25.91,75.6,1018.23,62.65
442.4202880859375,25.02,59.92,1009.9,76.27
435.84,25.96,68.08,1010.86,67.07
441.4096984863281,25.5,59.27,1012.92,68.88
463.9571838378906,14.85,45.01,1013.12,85.53
456.54,19.06,44.63,1004.23,84.43
466.3194274902344,15.22,41.67,1013.18,67.17
433.1169738769531,26.07,71.37,1008.6,79.48
486.07,7.62,44.71,1020.56,69.96
458.76837158203125,16.94,49.64,1024.43,69.22
434.00701904296875,26.18,69.14,1006.54,85.95
449.8,21.91,48.7,1006.89,83.97
447.3596496582031,23.24,63.78,1017.1,63.8
444.55499267578125,22.48,50.05,1005.55,82.36
462.72,12.8,41.16,1022.43,86.19
433.81,26.17,66.54,1002.23,75.6
430.3104553222656,29.71,73.18,1012.35,63.06
486.4737548828125,7.41,39.16,1015.23,90.66
458.31,16.25,58.16,1018.34,78.59
467.0057373046875,14.28,44.84,1024.84,79.09
443.9610595703125,22.12,47.93,1005.5,84.47
447.36,23.06,63.9,1013.54,65.28
473.0565185546875,13.46,39.85,1012.76,72.94
438.4700012207031,26.76,49.02,1007.96,70.05
446.950927734375,28.57,51.43,1012.02,47.79
475.5489807128906,10.31,38.18,1018.02,70.1
436.58935546875,28.47,69.23,1013.18,40.73
478.82,8.35,40.77,1011.77,90.25
445.8414306640625,24.42,57.32,1011.46,55.92
441.2856140136719,25.64,50.05,1006.97,67.72
476.7812805175781,7.69,39.96,1023.9,89.18
474.8482360839844,11.54,45.51,1017.19,83.02
465.50860595703125,15.62,40.89,1007.01,79.21
456.25,18.74,45.09,1014.24,41.54
447.46,20.12,65.94,1009.93,76.24
451.9,17.85,48.14,1017.16,86.68
458.9206848144531,17.21,52.9,1019.91,77.31
446.2889404296875,20.99,67.07,1005.17,82.41
457.28643798828125,17.69,46.36,1019.55,86.64
457.5935974121094,20.58,49.15,1021.42,56.15
472.13,12.04,38.25,1013.08,82.45
434.7575988769531,29.07,71.64,1006.07,69.53
449.4105224609375,21.81,65.46,1013.97,52.16
485.36,9.48,40.8,1023.82,78.98
467.37591552734375,13.69,44.85,1016.89,79.87
436.11810302734375,32.18,69.75,1009.94,52.91
444.12115478515625,23.48,60.23,1011.91,79.48
437.1263732910156,27.82,76.09,1007.83,76.07
434.98651123046875,25.26,74.33,1014.79,79.56
468.7294921875,14.12,42.99,1007.13,78.16
444.0577392578125,23.14,60.27,1018.51,80.54
457.71,17.74,50.88,1015.56,89.78
481.0476989746094,10.15,41.17,1019.38,82.3
482.8674011230469,8.35,43.79,1016.2,85.23
450.89,20.35,68.61,1011.17,86.69
455.61,22.06,45.61,1014.3,77.75
462.42,15.64,44.21,1020.17,83.28
479.5621032714844,9.32,36.66,1027.46,70.76
445.49,29.28,65.71,1013.76,48.05
481.36279296875,7.52,39.61,1018.61,78.96
440.45556640625,29.08,67.79,1010.91,55.96
483.6456604003906,7.55,42.85,1011.21,93.25
445.32,26.51,44.57,1007.56,52.23
443.3769226074219,26.52,63.94,1018.23,42.41
483.0768127441406,8.07,41.17,1019.4,86.43
442.23,25.35,63.21,1012.31,80.16
474.56463623046875,11.36,41.48,1012.8,76.16
473.84197998046875,11.89,40.64,1021.29,97.16
454.84,20.19,66.86,1012.97,64.7
451.5143127441406,20.04,48.92,1011.14,68.92
477.3742980957031,10.32,39.28,1016.56,94.13
474.1260986328125,12.01,41.48,1017.75,66.67
443.91546630859375,23.08,61.86,1013.44,84.64
449.3634033203125,19.81,66.54,1013.88,80.09
440.9136657714844,24.1,71.29,1007.96,67.56
467.34,14.47,39.58,1011.31,69.85
432.9401550292969,32.25,77.54,1010.46,54.57
476.5865478515625,9.51,40.81,1015.69,82.52
467.6570129394531,12.63,41.48,1009.61,87.69
434.94,30.91,76.2,1008.53,58.08
485.33782958984375,8.38,39.22,1015.03,75.14
433.54,22.63,57.17,1009.83,77.43
482.9900207519531,5.71,40.77,1022.49,87.9
470.4346923828125,13.09,43.67,1012.22,91.91
442.67596435546875,22.72,62.4,1010.28,80.79
434.2225646972656,23.67,72.24,1011.22,90.45
458.05828857421875,18.19,43.96,1011.87,79.68
454.39,25.58,47.01,1014.5,63.53
482.343017578125,6.79,40.0,1019.01,81.83
453.7749328613281,19.05,62.96,1020.48,83.04
442.3867492675781,25.32,63.77,1014.55,74.69
465.8099670410156,15.09,39.52,1017.05,72.43
438.34,23.44,72.24,1011.28,88.03
485.19,8.26,44.71,1020.85,68.82
469.5002136230469,17.22,36.71,1013.77,67.92
435.7216491699219,27.46,68.08,1013.06,46.49
472.31,11.52,40.03,1017.56,87.87
440.75,27.55,63.13,1012.92,71.29
489.4173278808594,6.5,38.5,1013.92,90.1
471.7374267578125,13.35,39.58,1012.41,83.45
448.0640563964844,21.5,59.87,1019.05,76.56
442.57,22.46,48.41,1008.66,80.85
446.9813232421875,22.05,63.31,1012.39,76.95
460.03,18.28,41.1,1002.0,65.69
463.5719299316406,14.56,53.82,1016.37,64.46
438.5309143066406,26.0,70.47,1009.61,74.66
467.7254638671875,13.14,40.66,1016.47,94.76
447.13,24.17,59.44,1012.66,78.53
434.94,26.11,73.17,1009.8,65.18
473.9,9.38,44.77,1020.41,85.26
456.09210205078125,18.77,49.21,1012.2,58.69
479.97,10.0,39.66,1016.83,78.91
472.5647277832031,10.1,44.03,1008.11,90.29
476.8554382324219,10.35,40.27,1005.09,92.42
472.0379638671875,12.95,40.1,1015.31,86.01
445.78411865234375,21.76,47.93,1005.34,86.28
454.13,25.06,52.36,1014.7,67.98
473.45,8.39,52.72,1026.06,86.76
439.48,23.56,71.85,1009.67,74.78
445.01,23.58,58.82,1009.68,81.38
458.0885314941406,20.71,45.61,1013.64,82.39
469.6291198730469,13.4,41.78,1010.2,64.57
478.721435546875,10.36,41.46,1017.53,92.04
