Rings,Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight
11.176493313660027,-1,0.685,0.545,0.18,1.768,0.7495,0.392,0.485
11.152523170577599,1,0.605,0.49,0.18,1.227,0.48,0.287,0.35
11.032599649858774,-1,0.59,0.465,0.15,0.997,0.392,0.246,0.34
20.0,-1,0.65,0.525,0.175,1.4225,0.61,0.2995,0.445
11.008890652281975,-1,0.6,0.48,0.15,1.029,0.4085,0.2705,0.295
11.108335280371026,-1,0.62,0.5,0.175,1.186,0.4985,0.3015,0.35
19.0,1,0.63,0.515,0.16,1.016,0.4215,0.244,0.355
11.0,1,0.58,0.465,0.145,0.887,0.4405,0.1655,0.265
10.839336247900595,-1,0.58,0.455,0.12,1.0735,0.479,0.2735,0.265
11.149001439750347,1,0.63,0.49,0.18,1.13,0.458,0.2765,0.315
11.337300845620195,-1,0.69,0.56,0.215,1.719,0.68,0.299,0.47
11.104383286157221,-1,0.65,0.545,0.165,1.566,0.6645,0.3455,0.415
16.0,-1,0.66,0.565,0.195,1.7605,0.692,0.3265,0.5
11.395127333487649,-1,0.68,0.58,0.2,1.787,0.585,0.453,0.6
14.0,-1,0.7,0.575,0.17,1.31,0.5095,0.314,0.42
11.164499373056682,1,0.685,0.52,0.15,1.343,0.4635,0.292,0.4
11.32632857964789,-1,0.675,0.545,0.195,1.7345,0.6845,0.3695,0.605
11.0,1,0.63,0.49,0.19,1.1775,0.4935,0.3365,0.285
10.941223155746075,-1,0.585,0.45,0.16,1.077,0.4995,0.2875,0.25
11.161538911825346,1,0.565,0.465,0.175,0.995,0.3895,0.183,0.37
11.16770804226216,-1,0.61,0.495,0.185,1.1085,0.3705,0.3135,0.33
11.20297178355143,1,0.605,0.47,0.18,1.1405,0.3755,0.2805,0.385
10.958056595656629,1,0.535,0.42,0.145,0.791,0.33,0.189,0.25
10.867813959300493,1,0.485,0.4,0.135,0.663,0.313,0.137,0.2
10.828179249248723,1,0.47,0.375,0.12,0.5565,0.226,0.122,0.195
10.905369793261462,1,0.545,0.425,0.135,0.8445,0.373,0.21,0.235
10.703060827655957,-1,0.455,0.37,0.105,0.4925,0.216,0.1245,0.135
12.0,1,0.54,0.42,0.155,0.7385,0.3515,0.152,0.215
10.845847327859866,1,0.46,0.38,0.135,0.482,0.207,0.1225,0.145
14.0,1,0.49,0.42,0.125,0.609,0.239,0.1435,0.22
10.773554353079282,0,0.465,0.375,0.12,0.471,0.222,0.119,0.14
10.663182889618884,0,0.415,0.325,0.1,0.3215,0.1535,0.0595,0.105
10.81772509477006,1,0.475,0.375,0.125,0.593,0.277,0.115,0.18
10.790179461340017,-1,0.47,0.375,0.125,0.5615,0.252,0.137,0.18
9.0,0,0.365,0.295,0.095,0.25,0.1075,0.0545,0.08
10.583813072087581,0,0.345,0.275,0.095,0.1995,0.0755,0.0535,0.07
10.66094066558887,0,0.39,0.31,0.1,0.302,0.116,0.064,0.115
10.875909845324905,-1,0.5,0.395,0.14,0.7155,0.3165,0.176,0.24
10.894627149813541,1,0.47,0.38,0.145,0.5865,0.2385,0.144,0.185
11.03151098588459,1,0.535,0.44,0.15,0.6765,0.256,0.139,0.26
11.022029697441255,1,0.585,0.455,0.15,0.987,0.4355,0.2075,0.31
10.766429012062714,-1,0.485,0.365,0.12,0.5885,0.27,0.131,0.175
9.0,1,0.515,0.455,0.135,0.7225,0.295,0.1625,0.235
10.708134742211012,-1,0.435,0.325,0.11,0.4335,0.178,0.0985,0.155
10.878438074037328,-1,0.515,0.415,0.14,0.6935,0.3115,0.152,0.2
10.74733699322596,0,0.44,0.345,0.12,0.365,0.1655,0.083,0.11
10.931108997816283,-1,0.525,0.44,0.15,0.8425,0.3685,0.1985,0.24
10.765142327772184,1,0.45,0.355,0.115,0.479,0.2125,0.1045,0.15
10.9614026333084,1,0.59,0.485,0.12,0.911,0.39,0.182,0.29
11.0,1,0.555,0.45,0.145,0.915,0.4,0.246,0.285
10.815232718062987,1,0.57,0.44,0.095,0.827,0.3395,0.2215,0.235
11.112518902324322,1,0.59,0.5,0.165,1.1045,0.4565,0.2425,0.34
10.932039081973802,1,0.585,0.475,0.12,0.945,0.41,0.2115,0.28
10.862884514981708,-1,0.58,0.46,0.12,0.9935,0.4625,0.2385,0.28
10.893011397142935,1,0.545,0.44,0.12,0.8565,0.3475,0.1715,0.24
11.109192014327132,-1,0.605,0.495,0.17,1.2385,0.528,0.2465,0.39
11.053167987316,-1,0.62,0.47,0.14,1.0325,0.3605,0.224,0.36
11.117263851637848,-1,0.63,0.5,0.17,1.3135,0.5595,0.267,0.4
20.0,1,0.63,0.515,0.165,1.352,0.488,0.349,0.45
16.0,-1,0.63,0.5,0.155,1.005,0.367,0.199,0.36
10.974766976170788,1,0.545,0.41,0.14,0.625,0.223,0.16,0.235
11.226083332399181,-1,0.67,0.54,0.165,1.5015,0.518,0.358,0.505
10.800278852524649,0,0.49,0.38,0.12,0.529,0.2165,0.139,0.155
13.0,-1,0.49,0.39,0.135,0.5785,0.2465,0.123,0.2
10.439096671976834,0,0.29,0.225,0.07,0.101,0.036,0.0235,0.035
10.402986439964845,0,0.26,0.2,0.07,0.092,0.037,0.02,0.03
13.0,1,0.58,0.45,0.175,1.068,0.425,0.203,0.32
11.102363511941034,-1,0.61,0.485,0.165,1.0915,0.3935,0.2435,0.33
19.0,1,0.6,0.5,0.16,1.015,0.3995,0.1735,0.33
10.998755788324045,-1,0.56,0.455,0.125,0.943,0.344,0.129,0.375
11.130972727902122,-1,0.575,0.45,0.17,1.0475,0.3775,0.1705,0.385
11.081404971370219,-1,0.57,0.45,0.175,0.9555,0.38,0.1665,0.295
20.0,1,0.6,0.47,0.155,1.036,0.4375,0.196,0.325
18.0,1,0.565,0.455,0.17,0.9065,0.342,0.156,0.32
10.997513128352335,1,0.545,0.42,0.14,0.7505,0.2475,0.13,0.255
13.0,0,0.44,0.345,0.1,0.366,0.122,0.0905,0.12
11.0,1,0.5,0.41,0.15,0.662,0.2815,0.137,0.22
7.0,0,0.36,0.275,0.095,0.217,0.084,0.0435,0.09
10.633359784030194,0,0.385,0.305,0.095,0.252,0.0915,0.055,0.09
9.0,1,0.39,0.3,0.09,0.3055,0.143,0.0645,0.085
13.0,1,0.5,0.415,0.165,0.6885,0.249,0.138,0.25
10.0,0,0.36,0.275,0.11,0.2335,0.095,0.0525,0.085
10.58080760869186,0,0.335,0.26,0.1,0.192,0.0785,0.0585,0.07
19.0,-1,0.505,0.425,0.14,0.85,0.275,0.1625,0.285
10.630649683741574,0,0.395,0.295,0.1,0.2715,0.134,0.0325,0.085
10.667193055489482,-1,0.41,0.325,0.105,0.3635,0.159,0.077,0.12
11.151430798321119,-1,0.56,0.455,0.19,0.714,0.283,0.129,0.275
13.0,1,0.565,0.435,0.185,0.9815,0.329,0.136,0.39
16.0,1,0.565,0.455,0.185,0.9265,0.354,0.1575,0.375
11.16634649496182,1,0.605,0.5,0.175,1.098,0.4765,0.232,0.375
10.983139460152374,-1,0.565,0.455,0.15,0.8205,0.365,0.159,0.26
11.421805640243832,1,0.725,0.565,0.215,1.891,0.6975,0.4725,0.58
11.126284057394269,-1,0.675,0.535,0.16,1.41,0.592,0.3175,0.42
11.205116928027643,-1,0.665,0.555,0.195,1.4385,0.581,0.354,0.36
10.995869657134492,-1,0.565,0.49,0.155,0.9245,0.405,0.2195,0.255
14.0,-1,0.645,0.55,0.175,1.2915,0.57,0.3045,0.33
10.989668274698596,1,0.575,0.47,0.14,0.8375,0.3485,0.1735,0.24
11.178632323911499,-1,0.64,0.54,0.175,1.221,0.51,0.259,0.39
10.636717087605826,0,0.36,0.28,0.105,0.199,0.0695,0.045,0.08
10.0,0,0.415,0.31,0.11,0.2965,0.123,0.057,0.0995
10.89531960376078,-1,0.525,0.41,0.135,0.7085,0.293,0.1525,0.235
10.626402030262005,1,0.38,0.285,0.1,0.2665,0.115,0.061,0.075
12.0,-1,0.585,0.465,0.17,0.9915,0.3865,0.224,0.265
10.383313859341555,0,0.24,0.185,0.07,0.0715,0.026,0.018,0.025
5.0,0,0.22,0.165,0.055,0.0545,0.0215,0.012,0.02
6.0,0,0.255,0.195,0.07,0.0735,0.0255,0.02,0.025
5.0,0,0.175,0.125,0.05,0.0235,0.008,0.0035,0.008
12.0,-1,0.67,0.55,0.19,1.3905,0.5425,0.3035,0.4
11.264386305770202,1,0.655,0.53,0.195,1.388,0.567,0.2735,0.41
11.444772125284809,-1,0.68,0.55,0.21,1.7445,0.5975,0.305,0.625
11.356870059868935,1,0.675,0.555,0.2,1.4385,0.545,0.2665,0.465
10.900219804671387,-1,0.53,0.44,0.135,0.7835,0.313,0.1715,0.2185
10.803857602469199,-1,0.515,0.405,0.12,0.646,0.2895,0.1405,0.177
9.0,0,0.43,0.34,0.12,0.3575,0.151,0.0645,0.1045
11.0,-1,0.52,0.405,0.12,0.627,0.2645,0.1415,0.181
11.02726413223658,-1,0.545,0.415,0.16,0.7715,0.272,0.1455,0.2765
11.09289913440493,1,0.53,0.415,0.175,0.7395,0.261,0.1395,0.2645
10.75380467641827,-1,0.465,0.35,0.115,0.421,0.1565,0.091,0.1345
11.250911278984823,1,0.665,0.54,0.175,1.347,0.4955,0.254,0.415
21.0,1,0.735,0.59,0.225,1.756,0.637,0.3405,0.58
16.0,1,0.66,0.545,0.185,1.32,0.5305,0.2635,0.455
29.0,-1,0.7,0.585,0.185,1.8075,0.7055,0.3215,0.475
11.008537508029011,1,0.575,0.4,0.155,0.9325,0.3605,0.2445,0.3
10.923686685749681,1,0.57,0.465,0.125,0.849,0.3785,0.1765,0.24
10.96418266034897,-1,0.58,0.46,0.15,0.9955,0.429,0.212,0.26
11.043616457674005,1,0.63,0.48,0.145,1.0115,0.4235,0.237,0.305
11.001350652610984,-1,0.585,0.465,0.14,0.908,0.381,0.1615,0.315
10.941169239923193,1,0.55,0.45,0.13,0.92,0.378,0.2385,0.29
11.041189948593171,-1,0.625,0.515,0.15,1.2415,0.5235,0.3065,0.36
10.914669968346887,1,0.54,0.42,0.135,0.8075,0.3485,0.1795,0.235
11.015392260306312,-1,0.57,0.455,0.165,1.0595,0.44,0.2195,0.285
10.984233906195106,1,0.59,0.455,0.145,1.073,0.475,0.19,0.285
10.984899552375197,1,0.58,0.46,0.13,0.921,0.357,0.181,0.29
11.10204536815286,-1,0.655,0.51,0.155,1.2895,0.5345,0.2855,0.41
11.236212543292913,1,0.655,0.53,0.175,1.2635,0.486,0.2635,0.415
11.204432665582338,1,0.625,0.5,0.195,1.369,0.5875,0.2185,0.37
11.076112913466385,-1,0.625,0.5,0.15,0.953,0.3445,0.2235,0.305
11.260568397084494,-1,0.64,0.52,0.175,1.248,0.4245,0.2595,0.48
11.065469746197184,-1,0.605,0.485,0.165,1.0105,0.435,0.209,0.3
11.096997033951547,-1,0.615,0.525,0.155,1.0385,0.427,0.2315,0.345
11.120840220242727,1,0.555,0.45,0.175,0.874,0.3275,0.202,0.305
11.063701230275527,-1,0.58,0.44,0.18,0.854,0.3665,0.1635,0.245
23.0,-1,0.62,0.52,0.225,1.1835,0.378,0.27,0.395
11.316710591628127,-1,0.62,0.47,0.225,1.115,0.378,0.2145,0.36
11.188373722169805,-1,0.6,0.505,0.19,1.129,0.4385,0.256,0.36
11.232432706526968,-1,0.625,0.485,0.19,1.1745,0.4385,0.2305,0.42
15.0,1,0.6,0.47,0.175,1.105,0.4865,0.247,0.315
11.322897992882831,1,0.56,0.46,0.235,0.8395,0.3325,0.157,0.305
15.0,1,0.585,0.455,0.225,1.055,0.3815,0.221,0.365
11.079079225574302,1,0.56,0.435,0.18,0.889,0.36,0.204,0.25
11.033908359025038,0,0.56,0.445,0.155,0.8735,0.3005,0.209,0.275
10.0,0,0.68,0.53,0.185,1.1095,0.439,0.245,0.34
10.0,-1,0.455,0.35,0.14,0.5185,0.221,0.1265,0.135
10.882910155555987,-1,0.49,0.38,0.145,0.6725,0.249,0.181,0.21
10.501771837184636,1,0.31,0.22,0.085,0.146,0.061,0.0365,0.045
10.390386309445137,-1,0.275,0.195,0.07,0.08,0.031,0.0215,0.025
6.0,1,0.27,0.195,0.08,0.1,0.0385,0.0195,0.03
9.0,1,0.4,0.29,0.115,0.2795,0.1115,0.0575,0.075
10.460082111989703,1,0.28,0.2,0.08,0.0915,0.033,0.0215,0.03
10.532938748706913,1,0.325,0.23,0.09,0.147,0.06,0.034,0.045
10.52374841359672,-1,0.345,0.25,0.09,0.203,0.078,0.059,0.055
3.0,1,0.21,0.15,0.05,0.0385,0.0155,0.0085,0.01
5.0,-1,0.36,0.27,0.09,0.1885,0.0845,0.0385,0.055
10.640057044918768,0,0.365,0.26,0.115,0.218,0.0935,0.0445,0.07
10.294969404791926,1,0.2,0.14,0.055,0.035,0.0145,0.008,0.01
4.0,1,0.235,0.16,0.06,0.0545,0.0265,0.0095,0.015
10.224055610203823,1,0.175,0.125,0.04,0.024,0.0095,0.006,0.005
10.204929633082328,1,0.155,0.11,0.04,0.0155,0.0065,0.003,0.005
11.009689285118968,-1,0.57,0.445,0.155,0.733,0.282,0.159,0.235
10.986812678380469,-1,0.57,0.45,0.16,0.9715,0.3965,0.255,0.26
10.641123408920567,1,0.385,0.3,0.095,0.24,0.0885,0.059,0.085
11.055344285013602,0,0.53,0.42,0.185,0.752,0.299,0.156,0.205
10.782066006829568,-1,0.46,0.355,0.13,0.458,0.192,0.1055,0.13
10.801379675124123,0,0.47,0.37,0.12,0.4705,0.1845,0.1055,0.155
10.69018452087508,-1,0.435,0.335,0.11,0.38,0.1695,0.086,0.11
10.0,0,0.47,0.37,0.14,0.4985,0.2095,0.1225,0.145
10.839701545386026,0,0.465,0.38,0.13,0.454,0.1895,0.08,0.155
10.919243249966215,0,0.52,0.405,0.14,0.5775,0.2,0.145,0.179
10.473587675137203,1,0.29,0.23,0.075,0.1165,0.043,0.0255,0.04
5.0,1,0.275,0.205,0.07,0.094,0.0335,0.02,0.0325
10.662121977054198,-1,0.375,0.29,0.115,0.2705,0.093,0.066,0.0885
15.0,-1,0.5,0.375,0.14,0.604,0.242,0.1415,0.179
10.741420759174146,-1,0.44,0.355,0.115,0.415,0.1585,0.0925,0.131
10.754787272470184,1,0.42,0.325,0.115,0.2885,0.1,0.057,0.1135
8.0,1,0.445,0.35,0.115,0.3615,0.1565,0.0695,0.117
10.631073965025864,-1,0.38,0.29,0.105,0.257,0.099,0.051,0.085
11.0,1,0.32,0.245,0.075,0.1555,0.0585,0.038,0.049
10.3964245340921,1,0.255,0.195,0.065,0.08,0.0315,0.018,0.027
10.280498260338662,1,0.205,0.155,0.045,0.0425,0.017,0.0055,0.0155
10.992868246308618,-1,0.565,0.45,0.16,0.795,0.3605,0.1555,0.23
11.053587078519671,0,0.555,0.425,0.18,0.875,0.3695,0.2005,0.255
17.0,0,0.65,0.515,0.16,1.1625,0.495,0.203,0.33
11.097118753575318,0,0.615,0.49,0.155,0.9885,0.4145,0.195,0.345
11.033877497984538,0,0.56,0.44,0.165,0.8,0.335,0.1735,0.25
10.793025694143765,0,0.48,0.37,0.12,0.514,0.2075,0.131,0.155
10.770313708924652,0,0.485,0.39,0.125,0.591,0.287,0.141,0.12
10.0,0,0.5,0.385,0.15,0.6265,0.2605,0.1665,0.16
14.0,0,0.525,0.405,0.15,0.795,0.3075,0.205,0.255
11.128156341395764,-1,0.66,0.5,0.165,1.1905,0.4585,0.298,0.37
13.0,-1,0.66,0.53,0.17,1.326,0.519,0.2625,0.44
10.940970879080467,0,0.52,0.4,0.145,0.66,0.267,0.1055,0.22
10.695233685229171,-1,0.44,0.34,0.105,0.364,0.148,0.0805,0.1175
10.811305932433255,0,0.515,0.4,0.12,0.659,0.2705,0.179,0.17
10.766651842773964,-1,0.475,0.35,0.115,0.452,0.1715,0.092,0.155
10.949976593595174,-1,0.545,0.415,0.15,0.7335,0.2795,0.163,0.2185
10.818728821827595,-1,0.47,0.355,0.13,0.5465,0.2005,0.126,0.185
10.491164754530178,1,0.35,0.255,0.065,0.179,0.0705,0.0385,0.06
10.811038503531702,0,0.485,0.355,0.13,0.581,0.245,0.132,0.168
10.736790904755512,0,0.435,0.33,0.125,0.406,0.1685,0.1055,0.096
7.0,1,0.28,0.21,0.08,0.1085,0.041,0.0265,0.0345
10.674583576253788,-1,0.41,0.32,0.115,0.387,0.165,0.1005,0.0985
16.0,0,0.45,0.35,0.14,0.474,0.21,0.109,0.1275
14.0,0,0.45,0.345,0.135,0.443,0.1975,0.0875,0.1175
20.0,-1,0.59,0.455,0.155,1.066,0.382,0.2275,0.415
17.0,-1,0.57,0.44,0.14,0.9535,0.3785,0.201,0.305
11.065941567175868,0,0.61,0.475,0.15,0.9665,0.4145,0.2,0.345
11.0,-1,0.61,0.475,0.14,1.133,0.5275,0.2355,0.35
10.924093985499647,0,0.56,0.425,0.14,0.9175,0.4005,0.1975,0.26
11.034170924364386,-1,0.585,0.435,0.175,0.982,0.4055,0.2495,0.27
11.0,0,0.58,0.445,0.15,0.8865,0.383,0.209,0.255
11.212227214310916,-1,0.63,0.48,0.175,1.3675,0.5015,0.3035,0.515
11.10202132312242,-1,0.625,0.49,0.175,1.233,0.5565,0.247,0.365
10.951075594714643,0,0.55,0.425,0.15,0.806,0.376,0.171,0.245
11.17400103070127,-1,0.645,0.525,0.19,1.4635,0.6615,0.3435,0.435
10.803856309893256,0,0.46,0.355,0.14,0.4935,0.216,0.133,0.115
10.626997684645207,-1,0.41,0.305,0.1,0.363,0.1735,0.065,0.11
10.82706011821535,0,0.495,0.39,0.125,0.6655,0.284,0.162,0.2
11.001457023885333,0,0.52,0.425,0.17,0.6805,0.28,0.174,0.195
10.939424051691208,-1,0.55,0.41,0.145,0.8285,0.3095,0.1905,0.25
10.85515704582877,1,0.45,0.335,0.14,0.4625,0.164,0.076,0.15
13.0,-1,0.405,0.31,0.12,0.3095,0.138,0.058,0.095
13.0,0,0.51,0.4,0.15,0.745,0.2865,0.1675,0.235
10.643951138073199,-1,0.37,0.29,0.115,0.25,0.111,0.057,0.075
18.0,0,0.525,0.41,0.175,0.874,0.3585,0.207,0.205
11.209672251365381,-1,0.66,0.52,0.18,1.514,0.526,0.2975,0.42
12.0,1,0.535,0.42,0.15,0.6995,0.2575,0.153,0.24
13.0,0,0.575,0.455,0.18,0.8525,0.3015,0.1825,0.3
10.94029111716718,-1,0.55,0.43,0.14,0.7135,0.2565,0.186,0.225
13.0,0,0.605,0.47,0.14,0.939,0.3385,0.201,0.32
11.091385568488297,0,0.605,0.495,0.145,1.054,0.369,0.2255,0.36
16.0,-1,0.56,0.445,0.195,0.981,0.305,0.2245,0.335
10.919251929983702,0,0.535,0.42,0.145,0.926,0.398,0.1965,0.25
10.65474650105453,-1,0.385,0.315,0.11,0.286,0.1225,0.0635,0.0835
10.623328697453921,-1,0.39,0.3,0.1,0.265,0.1075,0.06,0.0865
10.76815788976719,0,0.47,0.345,0.115,0.4885,0.2005,0.108,0.166
12.0,0,0.515,0.39,0.14,0.5555,0.2,0.1135,0.2235
13.0,0,0.425,0.345,0.125,0.425,0.16,0.0795,0.154
10.57280489791978,1,0.345,0.27,0.09,0.195,0.078,0.0455,0.059
10.0,0,0.485,0.37,0.13,0.458,0.181,0.113,0.136
10.642698202218936,1,0.37,0.285,0.1,0.228,0.0675,0.0675,0.081
10.586180414806643,1,0.35,0.265,0.09,0.1775,0.0575,0.042,0.068
12.0,-1,0.44,0.345,0.17,0.4085,0.15,0.0825,0.1515
4.0,1,0.195,0.145,0.05,0.032,0.01,0.008,0.012
9.0,1,0.325,0.24,0.075,0.155,0.0475,0.0355,0.06
10.845865053126172,0,0.495,0.37,0.125,0.4775,0.185,0.0705,0.169
10.855312194221757,0,0.45,0.35,0.145,0.525,0.2085,0.1,0.1655
10.841341027184985,1,0.415,0.345,0.135,0.3865,0.128,0.07,0.148
10.850377914651084,-1,0.47,0.355,0.14,0.433,0.1525,0.095,0.152
7.0,1,0.32,0.24,0.085,0.17,0.0655,0.047,0.049
10.480186899256271,1,0.31,0.225,0.075,0.1295,0.0455,0.0335,0.044
10.338657830911549,1,0.235,0.17,0.055,0.0515,0.018,0.0105,0.0195
10.534784206962401,1,0.345,0.255,0.08,0.169,0.06,0.0425,0.054
10.895161538555744,0,0.485,0.38,0.14,0.673,0.2175,0.13,0.195
10.778126336301478,-1,0.5,0.385,0.115,0.6785,0.2945,0.138,0.195
10.77785389410491,-1,0.5,0.385,0.105,0.498,0.1795,0.1095,0.17
15.0,0,0.465,0.36,0.105,0.498,0.214,0.116,0.14
12.0,-1,0.525,0.405,0.16,0.658,0.2655,0.1125,0.225
10.671941133351853,-1,0.425,0.335,0.095,0.322,0.1205,0.061,0.125
8.0,-1,0.38,0.305,0.095,0.2815,0.1255,0.0525,0.09
10.93220836360754,0,0.53,0.415,0.145,0.944,0.3845,0.185,0.265
10.554686465301513,1,0.34,0.265,0.085,0.1835,0.077,0.046,0.065
9.0,0,0.475,0.365,0.115,0.49,0.223,0.1235,0.1335
7.0,-1,0.43,0.34,0.12,0.391,0.1555,0.095,0.1405
10.0,1,0.46,0.365,0.125,0.467,0.1895,0.0945,0.158
10.828393889477637,0,0.47,0.36,0.13,0.5225,0.198,0.1065,0.165
9.0,1,0.36,0.295,0.1,0.2105,0.066,0.0525,0.075
10.58843425283601,1,0.355,0.265,0.09,0.168,0.05,0.041,0.063
10.598673433561128,1,0.38,0.235,0.1,0.258,0.1055,0.054,0.08
6.0,1,0.355,0.26,0.085,0.1905,0.081,0.0485,0.055
10.766911560322999,0,0.44,0.345,0.12,0.487,0.1965,0.108,0.16
10.868258281859637,-1,0.51,0.4,0.13,0.5735,0.219,0.1365,0.195
10.519780835453544,1,0.325,0.24,0.085,0.173,0.0795,0.038,0.05
11.174374903153772,0,0.62,0.485,0.18,1.1785,0.4675,0.2655,0.39
11.066089512533637,-1,0.59,0.45,0.16,0.9,0.358,0.156,0.315
10.572495727068306,1,0.33,0.255,0.095,0.1875,0.0735,0.045,0.06
10.794669921106813,1,0.45,0.34,0.13,0.3715,0.1605,0.0795,0.105
11.0,0,0.445,0.33,0.12,0.347,0.12,0.084,0.105
6.0,1,0.33,0.215,0.075,0.1145,0.045,0.0265,0.035
9.0,1,0.48,0.375,0.145,0.777,0.216,0.13,0.17
11.0,0,0.46,0.35,0.12,0.4885,0.193,0.105,0.155
9.0,-1,0.475,0.36,0.125,0.447,0.1695,0.081,0.14
10.384019796048083,1,0.255,0.18,0.065,0.079,0.034,0.014,0.025
10.543447455469124,0,0.335,0.245,0.09,0.1665,0.0595,0.04,0.06
10.81284253405192,0,0.47,0.35,0.13,0.466,0.1845,0.099,0.145
10.498166426146454,1,0.31,0.225,0.08,0.1345,0.054,0.024,0.05
10.629624872228039,-1,0.37,0.28,0.11,0.2305,0.0945,0.0465,0.075
7.0,1,0.295,0.215,0.075,0.129,0.05,0.0295,0.04
11.038182094283965,-1,0.555,0.435,0.165,0.97,0.336,0.2315,0.295
11.189874566874353,-1,0.615,0.515,0.17,1.14,0.4305,0.2245,0.42
18.0,0,0.58,0.49,0.195,1.3165,0.5305,0.254,0.41
11.146247740046528,-1,0.585,0.475,0.185,0.9585,0.4145,0.1615,0.33
18.0,0,0.65,0.525,0.18,1.626,0.597,0.3445,0.53
11.088937358945941,0,0.535,0.45,0.17,0.781,0.3055,0.1555,0.295
10.0,-1,0.415,0.34,0.13,0.3675,0.146,0.0885,0.12
10.641740023199711,-1,0.38,0.305,0.105,0.281,0.1045,0.0615,0.09
10.820005220500212,0,0.45,0.355,0.12,0.412,0.1145,0.0665,0.16
10.61449759340045,-1,0.395,0.295,0.095,0.2245,0.078,0.054,0.08
10.791228643860139,1,0.455,0.35,0.12,0.4835,0.1815,0.144,0.16
15.0,-1,0.485,0.38,0.15,0.605,0.2155,0.14,0.18
13.0,1,0.55,0.425,0.155,0.9175,0.2775,0.243,0.335
10.856669199853398,-1,0.45,0.35,0.145,0.5425,0.1765,0.123,0.175
10.930900645271226,1,0.475,0.385,0.145,0.6175,0.235,0.108,0.215
10.926774445626544,-1,0.5,0.38,0.155,0.655,0.2405,0.143,0.205
11.019902935059429,-1,0.53,0.41,0.165,0.8115,0.24,0.169,0.24
10.927198859331108,1,0.49,0.39,0.15,0.573,0.225,0.124,0.17
10.940047699418146,-1,0.49,0.385,0.15,0.7865,0.241,0.14,0.24
22.0,-1,0.52,0.395,0.18,0.64,0.158,0.11,0.245
10.984734063445782,1,0.54,0.415,0.145,0.74,0.2635,0.168,0.245
10.80910575296766,-1,0.5,0.375,0.115,0.5945,0.185,0.148,0.19
23.0,-1,0.45,0.38,0.165,0.8165,0.25,0.1915,0.265
10.602740973656427,-1,0.37,0.275,0.1,0.2225,0.093,0.026,0.08
7.0,0,0.37,0.275,0.1,0.2295,0.0885,0.0465,0.07
10.0,1,0.485,0.37,0.14,0.5725,0.204,0.1415,0.175
7.0,-1,0.435,0.325,0.115,0.3915,0.154,0.094,0.12
11.10871369267686,1,0.535,0.405,0.185,0.8345,0.3175,0.1725,0.29
10.908760076806965,1,0.51,0.4,0.14,0.6515,0.2455,0.1665,0.185
11.105863503586283,1,0.565,0.44,0.185,0.909,0.344,0.2325,0.255
10.897802193773773,-1,0.535,0.4,0.15,0.8045,0.3345,0.2125,0.21
10.964506620584213,-1,0.535,0.405,0.125,0.927,0.26,0.1425,0.345
10.997014540533442,1,0.525,0.4,0.17,0.7305,0.279,0.2055,0.195
11.02534974950007,1,0.59,0.44,0.15,0.9555,0.366,0.2425,0.295
10.0,1,0.5,0.375,0.15,0.636,0.2535,0.145,0.19
10.40637650204181,0,0.255,0.19,0.075,0.0865,0.0345,0.0205,0.025
10.701680691000949,-1,0.43,0.325,0.115,0.3865,0.1475,0.1065,0.11
10.697473798830877,1,0.38,0.29,0.12,0.283,0.1175,0.0655,0.085
10.133096025639155,0,0.165,0.11,0.02,0.019,0.0065,0.0025,0.005
7.0,0,0.315,0.23,0.09,0.1285,0.043,0.04,0.04
4.0,0,0.155,0.105,0.05,0.0175,0.005,0.0035,0.005
10.516344810885988,1,0.28,0.205,0.1,0.1165,0.0545,0.0285,0.03
10.741751029786665,-1,0.43,0.335,0.12,0.444,0.155,0.1145,0.14
10.66645190097035,-1,0.395,0.315,0.105,0.3515,0.1185,0.091,0.1195
12.0,1,0.385,0.285,0.105,0.2905,0.1215,0.0685,0.0875
10.854009849638539,-1,0.48,0.385,0.135,0.536,0.1895,0.142,0.173
10.67992320853013,-1,0.445,0.33,0.105,0.4525,0.18,0.103,0.123
10.71092927943629,1,0.395,0.295,0.115,0.316,0.1205,0.0595,0.1105
10.720521991945063,1,0.4,0.3,0.125,0.417,0.191,0.09,0.1175
10.823514870607694,1,0.415,0.325,0.14,0.417,0.1535,0.1015,0.144
11.0,1,0.315,0.25,0.09,0.203,0.0615,0.037,0.0795
10.548477631297986,-1,0.345,0.26,0.09,0.207,0.0775,0.0435,0.0765
10.746128663782013,1,0.36,0.295,0.13,0.2765,0.0895,0.057,0.1005
10.500211704848732,0,0.295,0.225,0.09,0.1105,0.0405,0.0245,0.032
10.514472133847391,0,0.325,0.25,0.08,0.176,0.0595,0.0355,0.063
11.0,1,0.375,0.3,0.1,0.2465,0.104,0.0475,0.083
7.0,0,0.28,0.205,0.055,0.1135,0.045,0.0275,0.0335
10.56787569562529,1,0.355,0.265,0.085,0.201,0.069,0.053,0.0695
9.0,1,0.35,0.255,0.08,0.1915,0.08,0.0385,0.063
7.0,0,0.275,0.2,0.065,0.1035,0.0475,0.0205,0.03
10.425420796616804,0,0.29,0.205,0.07,0.0975,0.036,0.019,0.035
10.357662235357713,0,0.25,0.19,0.06,0.0765,0.036,0.0115,0.0245
